,calendarDate,isOpen
0,2020/8/8,0
1,2020/8/9,0
2,2020/8/10,1
3,2020/8/11,1
4,2020/8/12,1
5,2020/8/13,1
6,2020/8/14,1
7,2020/8/15,0
8,2020/8/16,0
9,2020/8/17,1
10,2020/8/18,1
11,2020/8/19,1
12,2020/8/20,1
13,2020/8/21,1
14,2020/8/22,0
15,2020/8/23,0
16,2020/8/24,1
17,2020/8/25,1
18,2020/8/26,1
19,2020/8/27,1
20,2020/8/28,1
21,2020/8/29,0
22,2020/8/30,0
23,2020/8/31,1
24,2020/9/1,1
25,2020/9/2,1
26,2020/9/3,1
27,2020/9/4,1
28,2020/9/5,0
29,2020/9/6,0
30,2020/9/7,1
31,2020/9/8,1
32,2020/9/9,1
33,2020/9/10,1
34,2020/9/11,1
35,2020/9/12,0
36,2020/9/13,0
